case_id,legacy_case_id,source_case,roi_max_delta_m,shape_threshold_crossed,interface_quality,case_pass_after_recompute,HMAX_IS_REAL_PHYSICAL_OUTPUT,JET1_PHYSICAL_CONCLUSION_MADE,J1_minus_J0_delta_m,normalized_vs_J0,interpretation
J0_static_baseline_for_jet1_diagnostic,J0,D0_zero_motion_regression,6.0691962701962614e-06,False,clear,True,NO,NO,-1.7200266735641012e-06,1.0,negative_or_no_jet1_evidence
J1_true_geometry_jet1_diagnostic,J1,D5_diagnostic_displacement_5e_minus_5m,4.34916959663216e-06,False,clear,True,NO,NO,-1.7200266735641012e-06,0.7165972894943995,negative_or_no_jet1_evidence
