case_id,inner,time_s,interface_points_count,H_median,regional_roughness,max_slope,principal_spike_region,pseudo_spike_regional_flag,center_hole_points,inner_edge_points,jet_roi_points,H_center_hole,H_inner_edge,point_count_original,point_count_used,postprocess_method
J1_true_geometry_jet1_diagnostic,1,0.0,132,-4.097925731298588e-06,0.0009962413682879246,2.3476047599082572,global,False,11,3,11,8.38219437750315e-05,3.0389532823768024e-05,16272,1407,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,2,0.00010000000000000002,132,-3.6706557540871687e-06,0.000993992907470832,2.343345811114696,global,False,11,3,11,8.348285638020163e-05,3.0302120204966934e-05,16272,1407,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,3,0.0002,132,-3.1673038550854316e-06,0.0009916753106877256,2.339030708715238,global,False,11,3,11,8.3134570146487e-05,3.0226811396264934e-05,16272,1407,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,4,0.00030000000000000003,132,-3.0068140283450882e-06,0.0009893069913709275,2.334698169636151,global,False,11,3,11,8.278414594726733e-05,3.0171046702963067e-05,16272,1407,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,5,0.0004,132,-3.0603287895759022e-06,0.0009869047712373596,2.330365659068266,global,False,11,3,11,8.24336826866989e-05,3.01299244192693e-05,16272,1407,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,6,0.0005,132,-3.1061255120923444e-06,0.0009844575617395763,2.3260268212126314,global,False,11,3,11,8.208341174935285e-05,3.0105887182008146e-05,16272,1407,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,7,0.0006000000000000001,132,-3.1461696804047773e-06,0.0009819741552594874,2.3216681387063027,global,False,11,3,11,8.17334971186478e-05,3.0093891183137185e-05,16272,1406,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,8,0.0007,132,-2.9512708594483746e-06,0.0009794473353090087,2.317278732903827,global,False,11,3,11,8.13841344561244e-05,3.009538590726066e-05,16272,1406,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,9,0.0008,132,-2.627492830841431e-06,0.000976850935260004,2.3128154792415696,global,False,11,3,11,8.103446717421659e-05,3.0114607015338995e-05,16272,1405,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,10,0.0009000000000000001,132,-2.2913245828138555e-06,0.0009742334210129857,2.308341186713113,global,False,11,3,11,8.068508534796932e-05,3.0140770476063124e-05,16272,1405,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,11,0.001,132,-1.9731866877106087e-06,0.0009715805827987378,2.3038612184490765,global,False,11,3,11,8.033656150237473e-05,3.0179853564917017e-05,16272,1405,npz_binned_crossing_160
J1_true_geometry_jet1_diagnostic,12,0.0011,132,-1.950647607150665e-06,0.0009688983260994392,2.299376141615525,global,False,11,3,11,7.998872812366181e-05,3.0229619258439105e-05,16272,1405,npz_binned_crossing_160
