case_id,legacy_case_id,model_path,model_exists,attempted,load_status,extraction_status,postprocess_status,output_array_path,notes
J0_static_baseline_for_jet1_diagnostic,J0,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R1_diagnostic_repair\03_zero_motion_regression\models\D0_20260619_165307.mph,YES,YES,PASS,PASS,PASS,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_true_geometry_jet1_diagnostic\arrays\T010_J0_static_baseline_for_jet1_diagnostic_20260620_164644.npz,
J1_true_geometry_jet1_diagnostic,J1,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_diagnostic_displacement_regression\models\T008_D5_20260620_161207.mph,YES,YES,PASS,PASS,PASS,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_true_geometry_jet1_diagnostic\arrays\T010_J1_true_geometry_jet1_diagnostic_20260620_164644.npz,
