case_id,legacy_case_id,source_case,Vring,t_end,dt,expected_displacement_m,model_path,model_exists,java_path,java_exists,diagnostic_only,stage6_excluded,real_hmax_excluded,jet1_physical_conclusion_excluded,semantics_source,ambiguity
J0_static_baseline_for_jet1_diagnostic,J0,D0_zero_motion_regression,0[m/s],0.005[s],1e-4[s],-0.0,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R1_diagnostic_repair\03_zero_motion_regression\models\D0_20260619_165307.mph,YES,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R1_diagnostic_repair\03_zero_motion_regression\exports\D0_20260619_165307.java,YES,YES,YES,YES,YES,T007/T008 true-geometry D-ladder plus fixed-geometry 5C ROI definition only,NO
J1_true_geometry_jet1_diagnostic,J1,D5_diagnostic_displacement_5e_minus_5m,1e-2[m/s],0.005[s],1e-4[s],-5e-05,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_diagnostic_displacement_regression\models\T008_D5_20260620_161207.mph,YES,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_diagnostic_displacement_regression\models\T008_D5_20260620_161207.java,YES,YES,YES,YES,YES,T007/T008 true-geometry D-ladder plus fixed-geometry 5C ROI definition only,NO
