case_id,legacy_case_id,source_case,Vring,t_end,dt,expected_displacement_m,measured_ring_displacement_m,displacement_error_m,ring_motion_verified,model_path,load_status,extraction_status,postprocess_status,array_path,time_count,point_count_initial,point_count_final,HMAX_IS_REAL_PHYSICAL_OUTPUT,JET1_PHYSICAL_CONCLUSION_MADE,interface_quality,memory_error_resolved,H0_recomputed,Hfinal_recomputed,H_final_minus_H0_recomputed,global_roughness_final,max_slope_final,principal_spike_region_final,center_hole_points_final,inner_edge_points_final,jet_roi_points_final,H_center_hole_initial,H_center_hole_final,H_inner_edge_initial,H_inner_edge_final,jet1_roi_max_delta_m,jet1_roi_best_region,jet1_diagnostic_shape_threshold_crossed,near_top_flag_final,pseudo_spike_regional_flag_final,case_pass_after_recompute,exception_class,exception_message
J0_static_baseline_for_jet1_diagnostic,J0,D0_zero_motion_regression,0[m/s],0.005[s],1e-4[s],-0.0,-2.6020852139652106e-18,-2.6020852139652106e-18,True,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R1_diagnostic_repair\03_zero_motion_regression\models\D0_20260619_165307.mph,PASS,PASS,PASS,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_true_geometry_jet1_diagnostic\arrays\T010_J0_static_baseline_for_jet1_diagnostic_20260620_164644.npz,51,16272,16272,NO,NO,clear,YES,-4.098242394757288e-06,-2.0234523569011903e-06,2.074790037856098e-06,0.0008373320700114822,2.1171352024058963,global,10,5,10,8.382199034798162e-05,7.171360262955945e-05,3.038953802883379e-05,3.645873429903005e-05,6.0691962701962614e-06,inner_edge_region,False,False,False,True,,
J1_true_geometry_jet1_diagnostic,J1,D5_diagnostic_displacement_5e_minus_5m,1e-2[m/s],0.005[s],1e-4[s],-5e-05,-5.000000000000013e-05,-1.2874900798265365e-19,True,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_diagnostic_displacement_regression\models\T008_D5_20260620_161207.mph,PASS,PASS,PASS,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_true_geometry_jet1_diagnostic\arrays\T010_J1_true_geometry_jet1_diagnostic_20260620_164644.npz,51,16272,16272,NO,NO,clear,YES,-4.097925731298588e-06,-4.984363636625645e-06,-8.864379053270566e-07,0.000843875525986361,2.1192065003640868,global,10,5,10,8.38219437750315e-05,7.078456988857451e-05,3.0389532823768024e-05,3.4738702420400184e-05,4.34916959663216e-06,inner_edge_region,False,False,False,True,,
