time	footprint_radius_xcut_0.05
0	0.0392817
0.01	0.145254
0.02	0.200784
0.03	0.243902
0.04	0.281645
0.05	0.313296
0.06	0.34167
0.07	0.371222
0.08	0.396322
0.09	0.422933
0.1	0.447199
0.11	0.472999
0.12	0.493664
0.13	0.519907
0.14	0.549156
0.15	0.577593
0.16	0.604507
0.17	0.630043
0.18	0.654256
0.19	0.677265
0.2	0.699428
0.21	0.720254
0.22	0.740441
0.23	0.759867
0.24	0.778598
0.25	0.79711
0.26	0.814183
0.27	0.831132
0.28	0.848001
0.29	0.863819
0.3	0.879419
0.31	0.894809
