time	volume_axi	kinetic_proxy	max_speed	leaf_cells	max_level	min_delta	f_min	f_max	invalid
0	4.1887742258291398	2.0883632777579839	1	118930	11	0.00390625	0	1	0
0.01	4.188774618860343	2.0783983907905164	2.4520032393169857	20443	11	0.00390625	0	1	0
0.02	4.1887739770853996	2.0780766181892694	3.3404603709939025	20818	11	0.00390625	0	1	0
0.029999999999999999	4.1887746218330868	2.0779364130642541	4.633955426359579	20467	11	0.00390625	0	1	0
0.040000000000000001	4.1887745364671618	2.0777787807747279	9.0210819895680494	20161	11	0.00390625	0	1	0
0.050000000000000003	4.1887744288822599	2.0765937372694898	14.793319244774237	19810	11	0.00390625	0	1	0
0.060000000000000005	4.1887742713520675	2.07318953456164	14.763211714308492	19321	11	0.00390625	0	1	0
0.070000000000000007	4.1887741103536564	2.0679432795633783	12.338684847073237	18853	11	0.00390625	0	1	0
0.080000000000000002	4.1887735777677264	2.061671647414629	8.7418827185914818	18451	11	0.00390625	0	1	0
0.089999999999999997	4.188772787039742	2.0543774414238354	7.4915615116553527	18163	11	0.00390625	0	1	0
0.099999999999999992	4.188772995452215	2.0466434288196065	6.5434056682234765	17812	11	0.00390625	0	1	0
0.10999999999999999	4.1887719958674552	2.0385574653576528	5.8719117714805158	17782	11	0.00390625	0	1	0
0.11999999999999998	4.1887705164912354	2.0301651807356067	5.3492462367894271	17593	11	0.00390625	0	1	0
0.12999999999999998	4.1887695082306013	2.0214483369610972	4.9682381583111157	17458	11	0.00390625	0	1	0
0.13999999999999999	4.1887699015237478	2.0124172803492772	4.6422559651426747	17326	11	0.00390625	0	1	0
0.14999999999999999	4.1887687772225473	2.003021230042521	4.3882720196909624	17320	11	0.00390625	0	1	0
0.16	4.1887674567256079	1.9933809186222311	4.1697857038019901	17272	11	0.00390625	0	1	0
0.17000000000000001	4.188766458741866	1.9836326838891862	3.9783451751490002	17212	11	0.00390625	0	1	0
0.18000000000000002	4.1887645438106658	1.973678392657676	3.8228438484176537	17080	11	0.00390625	0	1	0
0.19000000000000003	4.1887637034902934	1.96363067959007	3.6718101410874118	16912	11	0.00390625	0	1	0
0.20000000000000004	4.1887627213077989	1.9534218081061556	3.5514253124103043	16831	11	0.00390625	0	1	0
0.21000000000000005	4.1887616674765695	1.9431189058686071	3.4232206244209498	16783	11	0.00390625	0	1	0
0.22000000000000006	4.1887600417127349	1.9326856503783263	3.3035858252599817	16723	11	0.00390625	0	1	0
0.23000000000000007	4.1887595847919883	1.9221629889734904	3.1976242375470298	16693	11	0.00390625	0	1	0
0.24000000000000007	4.1887599126295338	1.9114853120037016	3.0818068604899751	16603	11	0.00390625	0	1	0
0.25000000000000006	4.1887591397013848	1.9007214367499325	2.9854182100726692	16405	11	0.00390625	0	1	0
0.26000000000000006	4.1887586418842178	1.8898797797194862	2.8854330875524257	16402	11	0.00390625	0	1	0
0.27000000000000007	4.1887575325983635	1.8789619448942192	2.7918803207456411	16351	11	0.00390625	0	1	0
0.28000000000000008	4.1887558067498309	1.8679069551844518	2.7148856492368996	16345	11	0.00390625	0	1	0
0.29000000000000009	4.1887537392755423	1.8568159346588939	2.6513348429667096	16261	11	0.00390625	0	1	0
0.3000000000000001	4.1887513020214735	1.8456634599707227	2.5863986691929188	16300	11	0.00390625	0	1	0
0.31000000000000011	4.1887504462182257	1.8344650161761842	2.5307121632796541	16141	11	0.00390625	0	1	0
