time	footprint_radius_xcut_0.05
0	0.156867
0.01	0.197906
0.02	0.232895
0.03	0.281882
0.04	0.313441
0.05	0.345492
0.06	0.375644
0.07	0.389575
0.08	0.418519
0.09	0.447008
0.1	0.474992
0.11	0.502147
0.12	0.513734
0.13	0.540084
0.14	0.566241
0.15	0.577355
0.16	0.603567
0.17	0.631582
0.18	0.659768
0.19	0.687798
0.2	0.69884
0.21	0.72744
0.22	0.75579
0.23	0.784148
0.24	0.813737
0.25	0.825919
0.26	0.854818
0.27	0.882792
0.28	0.910845
0.29	0.920275
0.3	0.944984
0.31	0.951505
