metric	l11	l12	raw_difference_l12_minus_l11	absolute_relative_change	under_5_percent
final_volume	4.1887504462182257	4.1887757286925265	2.5282474300780677e-05	6.035803427632392e-06	PASS
max_relative_volume_drift	5.6769855886532376e-06	2.502241504794401e-06	-3.1747440838588366e-06	0.55923060474282216	FAIL
final_kinetic_energy	1.83447	1.84276	0.0082899999999999086	0.0045190163916553052	PASS
ke_t0.1	2.04664	2.0550700000000002	0.0084300000000001596	0.004118946175194543	PASS
ke_t0.2	1.9534199999999999	1.96235	0.0089300000000001045	0.004571469525242961	PASS
ke_t0.3	1.8456600000000001	1.85405	0.0083899999999998975	0.0045457993346552979	PASS
max_footprint_radius	0.89480899999999997	0.89549000000000001	0.00068100000000004268	0.00076105627010908774	PASS
time_of_max_footprint	0.31	0.31	0	0	PASS
