group	repeat	inner_measure_mm	outer_measure_mm	thickness_mm	mass_g	release_height_entry	contact_frame	crown_height_mm	crown_frame	first_jet_height_mm	first_jet_frame	worthington_height_mm	worthington_frame
1	1	5.2	12.6	5.02	5.35	100+/-5 (105)	463	8.95	573	68.37	588	52.77	755
1	2	5.2	12.6	5.02	5.35	100+/-5 (105)	211	9.90	277	63.90	363	63.90	566
