artifact	sha256	status
literal_geometry_private_source	7940373c68d810f00fbd08c5b9925221fde32f54d748305c8668966ffac8a728	isolated_not_tracked
literal_geometry_private_binary	693634193ec8264ebdcd0438e18029d902939e479810aa1637fa5bab0dc2d91d	isolated_not_tracked
external_contact_header	eb64fb5398a3247902aa822aae603904f3605f4251c3e1ea903c2f8841f836d1	unlicensed_isolated_not_tracked
