inner_solution,time_s,center_samples,axis_samples,center_w_mean_m_per_s,center_w_max_m_per_s,axis_w_mean_m_per_s,axis_w_max_m_per_s,axis_upward_fraction,center_U_max_m_per_s,center_pressure_max_Pa,axis_interface_points_count,center_interface_points_count
1,0.0,134,44,-2.521433092504514e-07,1.3856971198841257e-05,-3.4369821299418005e-07,3.8372744459043305e-06,0.022727272727272728,1.3875462899892086e-05,0.06206492583305102,0,2
67,0.0066,134,44,0.000761266525898124,0.04877960262059139,9.140931282229317e-05,0.04877960262059139,0.9090909090909091,0.04877960262059139,0.14061990335162125,0,2
134,0.013300000000000001,134,44,0.0009912811271034518,0.024822606162365594,0.000565856804381812,0.015246207101173853,0.9772727272727273,0.06113317721281652,0.017617805332373004,0,2
201,0.02,134,44,0.001209960297785729,0.020695087063238523,0.0011236609114247957,0.020695087063238523,0.9545454545454546,0.0365232621025462,0.10972698841124047,0,2
