run	grid	level	Delta_m	theta_deg	wall_bc	domain_axial_m	domain_radial_m	end_s	initial_water_m3	final_water_m3	expected_water_m3	final_budget_residual	max_budget_residual	max_ghost_liquid_m3	max_deep_solid_liquid_m3	max_frame_speed_mps	max_lab_speed_mps	min_dt_s	max_cells	invalid_values	first_contact_s	max_right_water	global_peak_t_s	global_peak_x_m	global_peak_r_m	global_peak_f	global_peak_cs
75deg_square_l7	uniform	7	0.00046875	75	no-slip	0.060	0.060	0.028	0.00027143360527015254	0.00057717432468491487	0.00058810614475200338	0.018588175220815469	0.018752530775756077	1.3376162924242366e-06	0	3.5419250971457781	2.5579712853805265	9.090909090909091e-06	16384	0	0.0035833333333333333	0	NA	NA	NA	NA	NA
75deg_square_l8	uniform	8	0.000234375	75	no-slip	0.060	0.060	0.028	0.00027143360527015785	0.00057515755619796038	0.00058810614475200869	0.022017434555982141	0.022017434555982141	5.1845253067112078e-07	0	10.782896093197509	11.4240326343738	5.7539682539690246e-06	65536	0	0.0038125000000000004	0	NA	NA	NA	NA	NA
90deg_square_l7_short	uniform	7	0.00046875	90	no-slip	0.060	0.060	0.012	0.00027143360527015254	0.00040278912716418871	0.00040715040790523146	0.010711718952908152	0.010711718952908152	7.2810660838021848e-07	0	1.6593019316811031	0.65934192915786205	9.090909090909091e-06	16384	0	0.0035833333333333333	0	NA	NA	NA	NA	NA
75deg_extended_l7_60ms	uniform	7	0.00046875	75	no-slip	0.120	0.060	0.060	0.00027143360527015254	0.00093855530370241444	0.00095001761844554721	0.012065370705322093	0.018564315661316291	1.3847976089297358e-06	0	3.8301777845332654	2.8312659610594464	9.090909090909091e-06	32768	0	0.0035833333333333333	0	0.028208333333333346	0.0025781250000000006	0.0063281249999999995	0.03193841333349267	1
75deg_extended_l7_75ms	uniform	7	0.00046875	75	no-slip	0.120	0.060	0.075	0.00027143360527015254	0.0011081306225339449	0.001119663621739396	0.010300414322235992	0.018564315661316291	1.385162146815039e-06	0	3.8301777845332654	3.0070440710527797	9.090909090909091e-06	32768	0	0.0035833333333333333	0	0.074999999999999997	0.0021093749999999967	0.013359375	1	0.73333333333333506
75deg_extended_l8_60ms	uniform	8	0.000234375	75	no-slip	0.120	0.060	0.060	0.00027143360527015785	0.00091612682912306433	0.00095001761844555252	0.035673853478571611	0.035938991189278478	8.263518523825208e-07	0	18.280463719451365	17.310932584452789	6.2009094667185571e-06	131072	0	0.0038125000000000004	0	0.043486929479985066	-0.0019921874999999992	0.0038671875	1	0.46666666666667012
75deg_long_l7_120ms	uniform	7	0.00046875	75	no-slip	0.180	0.060	0.120	0.00027143360527015254	0.0016172873269644618	0.0016286016316209419	0.0069472512103644236	0.01818336240114151	1.5159427162335557e-06	0	7.3010377295226574	6.5928715108258977	9.090909090909091e-06	49152	0	0.0035833333333333333	0	0.120	0.0021093749999999967	0.013359375	1	0.73333333333333506
75deg_freeslip_l7_30ms	uniform	7	0.00046875	75	free-slip-control	0.120	0.060	0.030	0.00027143360527015254	0.0006004041661894291	0.00061072561185784987	0.016900299361971332	0.017815234612960112	1.3141437512037231e-06	0	3.6040039389932361	2.6121716554271761	9.090909090909091e-06	32768	0	0.0035833333333333333	0	0.026785714285714302	0.0025781250000000006	0.0063281249999999995	0	1
75deg_freeslip_l8_30ms	uniform	8	0.000234375	75	free-slip-control	0.120	0.060	0.030	0.00027143360527015785	0.00059671880643561706	0.00061072561185785519	0.02293469464892554	0.02293469464892554	5.2437844624373465e-07	0	6.3852960066228599	5.9659904254821789	5.6686046511628119e-06	131072	0	0.0038750000000000004	0	0.024561403508771954	-0.00011718750000000097	0.0022265624999999998	1	1
75deg_phase_shift_l7_30ms	uniform	7	0.00046875	75	no-slip-phase-control	0.120	0.060	0.030	0.00026878288646868612	0.00059182801589859296	0.00060807489305638352	0.026718546256906662	0.026718546256906662	1.0283148137811116e-06	0	2.2441179626261194	1.3551255573266616	9.090909090909091e-06	32768	0	0.0038333333333333331	0	0.029999999999999999	0.0018749999999999982	0.011484375	0	0.23333333333333162
