# units: lengths=m, volumes=m^3
baselevel	maxlevel	leaf_cells	cut_cells	metric_volume	volume_3d	exact_volume	relative_error	min_cs	max_cs	invalid_cs	invalid_fs	orphan_cut_cells
3	5	448	16	4.2692871093749972e-07	2.6824722037756164e-06	2.7488935718910665e-06	0.024162946428572113	0	1	0	0	0
3	6	808	32	4.3492584228515597e-07	2.7327196619587953e-06	2.7488935718910665e-06	0.0058837890625007246	0	1	0	0	0
3	7	1528	62	4.3627700805664055e-07	2.7412092868817513e-06	2.7488935718910665e-06	0.0027954101562502271	0	1	0	0	0
