inner_solution,time_s,file,ok
1,0.0,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\04_moving_ring_model\images\frames\moving_ring_velocity_frame_001.png,True
2,0.005,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\04_moving_ring_model\images\frames\moving_ring_velocity_frame_002.png,True
3,0.01,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\04_moving_ring_model\images\frames\moving_ring_velocity_frame_003.png,True
4,0.015,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\04_moving_ring_model\images\frames\moving_ring_velocity_frame_004.png,True
5,0.02,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\04_moving_ring_model\images\frames\moving_ring_velocity_frame_005.png,True
