inner_solution,time_s,w_center_above_mean_m_per_s,w_center_above_max_m_per_s,sample_count
1,0.0,0.08573196227045259,0.29938227569422515,139
2,0.005,0.08475928473500102,0.20899606975029847,139
3,0.01,0.07866746481742053,0.2221463957169014,139
4,0.015,0.07393046719708528,0.22095205962692058,139
5,0.02,0.07156859577466984,0.22074057736535999,139
