boundary_id,length_m,center_r_m,center_z_m,r_min_m,r_max_m,z_min_m,z_max_m,endpoint_1,endpoint_2,int_r,int_z,inside_water_domain_not_outer_tank,candidate_match
1,0.2400000000000001,0.0,6.26804380968182e-18,0.0,0.0,-0.12,0.12,"[0.0, -0.12]","[0.0, 0.12]",0.0,1.5043305143236374e-18,False,
2,0.1,0.05000000000000001,-0.12,0.0,0.1,-0.12000000000000002,-0.12,"[0.0, -0.12000000000000002]","[0.1, -0.12]",0.005000000000000001,-0.012,False,
3,0.09999999999999998,0.05000000000000004,0.12000000000000002,0.0,0.1,0.12,0.12000000000000002,"[0.0, 0.12]","[0.1, 0.12000000000000002]",0.005000000000000003,0.012,False,
4,0.002,0.008000000000000002,6.6174449004242214e-21,0.008,0.008000000000000004,-0.001,0.001,"[0.008, -0.001]","[0.008000000000000004, 0.001]",1.6000000000000003e-05,1.3234889800848443e-23,True,inner_vertical_r_eq_Ri
5,0.012,0.013999999999999999,-0.0010000000000000002,0.008,0.02,-0.0010000000000000005,-0.001,"[0.008, -0.0010000000000000005]","[0.02, -0.001]",0.000168,-1.2000000000000004e-05,True,bottom_horizontal_z_eq_minus_h_over_2
6,0.011999999999999995,0.014000000000000009,0.001000000000000001,0.008,0.02,0.001,0.0010000000000000005,"[0.008, 0.001]","[0.02, 0.0010000000000000005]",0.00016800000000000004,1.2000000000000009e-05,True,top_horizontal_z_eq_plus_h_over_2
7,0.002,0.019999999999999997,-2.6469779601696886e-20,0.02,0.020000000000000004,-0.001,0.001,"[0.02, -0.001]","[0.020000000000000004, 0.001]",3.9999999999999996e-05,-5.293955920339377e-23,True,outer_vertical_r_eq_Ro
8,0.23999999999999955,0.09999999999999991,2.3067530596892155e-17,0.1,0.10000000000000003,-0.12,0.12,"[0.1, -0.12]","[0.10000000000000003, 0.12]",0.02399999999999993,5.536207343254107e-18,False,
