0.0144355 0
0.0144178 0.03125

0.0143451 0.03125
0.0142906 0.0625

0.0141381 0.0625
0.014043 0.09375

0.0137981 0.09375
0.0136572 0.125

0.0133031 0.125
0.0131164 0.15625

0.0126612 0.15625
0.0124364 0.1875

0.0118972 0.1875
0.0116462 0.21875

0.0110515 0.21875
0.0107861 0.25

0.0101541 0.25
0.00988358 0.28125

0.00923512 0.28125
0.00896832 0.3125

0.00832262 0.3125
0.00806804 0.34375

0.00745009 0.34375
0.00721493 0.375

0.00664142 0.375
0.00642905 0.40625

0.00590685 0.40625
0.00571663 0.4375

0.00524072 0.4375
0.00507011 0.46875

0.00463618 0.46875
0.00448328 0.5

0.00408989 0.5
0.00395367 0.53125

0.00360075 0.53125
0.0034798 0.5625

0.00316326 0.5625
0.00305513 0.59375

0.00276778 0.59375
0.00266897 0.625

0.00240054 0.625
0.00230581 0.65625

0.00203731 0.65625
0.0019409 0.6875

0.00165669 0.6875
0.00155605 0.71875

0.00125572 0.71875
0.0011536 0.75

0.000854255 0.75
0.000756144 0.78125

0.00047445 0.78125
0.000385474 0.8125

6.25646e-05 0.8125
0.000134253 0.84375

0 0.871208
0.00103109 0.875

0.0625 0.872391
0.0590651 0.875

0.0625 0.873444
0.09375 0.856844

0.09375 0.858415
0.125 0.853407

0 0.895768
0.00427628 0.90625

0.00544026 0.90625
0.0148932 0.9375

0.0597523 0.875
0.0312546 0.90625

0.03125 0.931819
0.0449615 0.90625

0.0162554 0.9375
0.03125 0.965511

0.03125 0.955527
0.0481175 0.9375

0.125 0.853996
0.15625 0.856259

0.15625 0.856472
0.1875 0.864401

0.1875 0.865007
0.213713 0.875

0.213389 0.875
0.21875 0.877044

0.21875 0.877271
0.25 0.891252

0.25 0.891754
0.28125 0.906139

0.281542 0.90625
0.3125 0.919943

0.3125 0.920126
0.34375 0.933057

0.34375 0.933041
0.355634 0.9375

0.355677 0.9375
0.375 0.944751

0.375 0.944756
0.40625 0.955332

0.40625 0.955362
0.4375 0.96473

0.4375 0.964686
0.452935 0.96875

0.453086 0.96875
0.46875 0.972874

0.46875 0.972864
0.5 0.980138

0.5 0.980151
0.53125 0.986504

0.53125 0.986502
0.5625 0.99191

0.5625 0.991921
0.59375 0.996367

0.59375 0.996358
0.625 0.999836

0.625 0.999732
0.628207 1

0.875 0.996878
0.847984 1

0.875 0.996809
0.90625 0.99219

0.90625 0.992211
0.9375 0.98664

0.9375 0.986651
0.96875 0.980064

0.96875 0.980109
1 0.97239

0.627402 1
0.65625 1.00241

0.65625 1.00241
0.6875 1.00422

0.6875 1.00423
0.71875 1.00521

0.71875 1.00521
0.75 1.00535

0.75 1.00536
0.78125 1.00464

0.78125 1.00466
0.8125 1.00302

0.8125 1.00302
0.84375 1.00043

0.84375 1.0003
0.84633 1

1.03125 0.963449
1.01262 0.96875

1 0.972404
1.01285 0.96875

1.03125 0.963511
1.0625 0.953432

1.125 0.929614
1.10504 0.9375

1.0625 0.953417
1.09375 0.942108

1.09375 0.942141
1.1055 0.9375

1.25 0.870114
1.24087 0.875

1.125 0.92972
1.15625 0.916428

1.1875 0.902068
1.17837 0.90625

1.15625 0.916447
1.1785 0.90625

1.1875 0.90213
1.21875 0.886736

1.21875 0.886849
1.24088 0.875

1.4375 0.729279
1.41504 0.75

1.5 0.663574
1.4787 0.6875

1.46875 0.69786
1.44825 0.71875

1.4375 0.729052
1.44807 0.71875

1.46875 0.697785
1.47845 0.6875

1.25 0.870141
1.28125 0.851806

1.3125 0.831778
1.29396 0.84375

1.28125 0.851801
1.29378 0.84375

1.34375 0.80941
1.33947 0.8125

1.34375 0.809504
1.375 0.784987

1.3125 0.831763
1.33951 0.8125

1.40625 0.758186
1.37932 0.78125

1.375 0.784966
1.37949 0.78125

1.40625 0.758068
1.4152 0.75

1.74981 0
1.74926 0.03125

1.74921 0.03125
1.74767 0.0625

1.74765 0.0625
1.74526 0.09375

1.74531 0.09375
1.74203 0.125

1.74207 0.125
1.73771 0.15625

1.73771 0.15625
1.73221 0.1875

1.71875 0.246821
1.71797 0.25

1.73219 0.1875
1.72562 0.21875

1.71875 0.246893
1.72562 0.21875

1.625 0.484957
1.61671 0.5

1.6875 0.346928
1.67686 0.375

1.718 0.25
1.70929 0.28125

1.70928 0.28125
1.69949 0.3125

1.69947 0.3125
1.68867 0.34375

1.6875 0.346955
1.68871 0.34375

1.65625 0.422994
1.64961 0.4375

1.67689 0.375
1.66388 0.40625

1.65625 0.42299
1.66391 0.40625

1.64964 0.4375
1.63392 0.46875

1.625 0.484978
1.63394 0.46875

1.5625 0.583818
1.55557 0.59375

1.55556 0.59375
1.53185 0.625

1.59375 0.537701
1.57757 0.5625

1.61673 0.5
1.59795 0.53125

1.59375 0.537831
1.59793 0.53125

1.5625 0.5839
1.57759 0.5625

1.53125 0.625842
1.50637 0.65625

1.5 0.66353
1.50626 0.65625

1.53125 0.625659
1.53177 0.625

