category,object,result,details,selection,interesting_values,moving_related_properties
existing_feature,spf/inl_ring_vertical_equiv,present,"[""BoundaryCondition"", ""ComponentWise"", ""U0in"", ""u0"", ""p0"", ""LaminarInflowOption"", ""Uav"", ""V0"", ""p0_entr"", ""CompensateForHydrostaticPressureApproximationIO"", ""CompensateForHydrostaticPressureIO"", ""Lentr"", ""ConstrainEndPointsToZero"", ""f0"", ""MassFlowType"", ""mfr"", ""StandardFlowRateDefinedBy"", ""stdmfr"", ""mnst"", ""Pst"", ""Tst"", ""sccmmfr"", ""Mf_src"", ""Mf"", ""Mn_src"", ""Mn"", ""RANSVarOption"", ""RANSAnisotropyOption"", ""IT"", ""LT"", ""Uref"", ""k0"", ""ep0"", ""om0"", ""nutilde0"", ""zeta0"", ""zeta0_aniso"", ""alpha0"", ""constraintOptions"", ""constraintType"", ""constraintMethod"", ""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]","[4, 7]","{""BoundaryCondition"": ""Velocity"", ""u0"": ""0""}",
existing_physics,ls,present,"[""create"", ""dateCreated"", ""feature"", ""featureInfo"", ""label"", ""prop"", ""selection"", ""tag"", ""timeCreated""]",,,
api_reflection,ls.feature(),methods,"[""create"", ""dateCreated"", ""hasTag"", ""tag"", ""tags"", ""timeCreated"", ""uniquetag""]",,,
existing_feature,ls/lsm1,present,"[""gamma"", ""epsilon_ls"", ""u_src"", ""u"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,ls/init1,present,"[""InitialValuesOption"", ""phils_init"", ""FluidInDomain"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,ls/initfluid2,present,"[""InitialValuesOption"", ""phils_init"", ""FluidInDomain"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
existing_feature,ls/axi1,present,"[""StudyStep""]",[1],{},
existing_feature,ls/nf1,present,"[""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]","[2, 3, 4, 5, 6, 7, 8]",{},
existing_feature,ls/dcont1,present,"[""pairSelection"", ""pairs"", ""pairsList"", ""pairDisconnect"", ""StudyStep"", ""showPhysicsSymbols""]",[],{},
catalog_enumeration,COMSOL API feature/interface catalog,API cannot enumerate available physics interface or feature type catalog from this MCP/mph path,"Existing object tags/properties can be enumerated, but the create-type catalog is not exposed. Next step requires manual GUI model export to Java/M-file for exact names.",,,
moving_wall_semantics,spf/Wall,creatable,"[""BoundaryCondition"", ""uleak"", ""UseViscousSlip"", ""UseThermalCreep"", ""SlipLengthOption"", ""Ls"", ""alphav"", ""lambda"", ""sigmat"", ""ElectroosmoticOption"", ""mueo"", ""zeta"", ""epsilonr"", ""T_src"", ""T"", ""E_src"", ""E"", ""utr"", ""uvw"", ""vw"", ""SlidingWall"", ""TranslationalVelocityOption"", ""constraintOptions"", ""constraintType"", ""constraintMethod"", ""ApplyWallRoughness"", ""RoughnessModel"", ""kseq"", ""ks"", ""Cs"", ""NavierSlip"", ""beta"", ""beta_factor"", ""tau_ref"", ""m"", ""IncludeUtrInNavierSlipForce"", ""tau_y"", ""k1"", ""k2"", ""StudyStep"", ""showPhysicsSymbols"", ""pairContrib""]","[4, 7]",,"[""utr"", ""SlidingWall"", ""TranslationalVelocityOption""]"
