time,time_s,H_raw_global,H_robust_main_interface,H_95_percentile,H_99_percentile,interface_points_count,main_component_length,number_of_interface_components,near_top_flag,H_center_hole,H_center_hole_raw,H_inner_edge,H_inner_edge_raw,center_hole_components,center_hole_main_length,inner_edge_components,inner_edge_main_length,pseudo_spike_flag,H_m,H_mm
0.0,0.0,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0001,0.0001,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0002,0.0002,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.00030000000000000003,0.00030000000000000003,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0004,0.0004,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0005,0.0005,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0006000000000000001,0.0006000000000000001,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0007,0.0007,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0008,0.0008,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0009000000000000001,0.0009000000000000001,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.001,0.001,8.474977502194331e-05,8.12441724491838e-05,7.890710406734412e-05,8.358124083102347e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0011,0.0011,8.474977502194334e-05,8.124417244918381e-05,7.890710406734415e-05,8.35812408310235e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.124417244918381e-05,0.0812441724491838
0.0012000000000000001,0.0012000000000000001,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0013000000000000002,0.0013000000000000002,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0014,0.0014,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0015,0.0015,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0016,0.0016,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
0.0017000000000000001,0.0017000000000000001,8.474977502194334e-05,8.124417244918381e-05,7.890710406734415e-05,8.35812408310235e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.124417244918381e-05,0.0812441724491838
0.0018000000000000002,0.0018000000000000002,8.474977502194332e-05,8.12441724491838e-05,7.890710406734413e-05,8.358124083102348e-05,11,0.00794246972682629,2,False,6.233936263432989e-05,6.526254096403735e-05,7.18941492904388e-05,7.306443311274495e-05,1,0.0010520470055726296,1,0.003346547180881234,False,8.12441724491838e-05,0.08124417244918379
