inner_solution,time_s,roi_samples,roi_w_mean_m_per_s,roi_w_max_m_per_s,roi_upward_fraction,roi_U_max_m_per_s,roi_pressure_max_Pa,jet_roi_interface_points
1,0.0,146,-3.3644854470123744e-07,1.3856971198841257e-05,0.04794520547945205,1.3875462899892086e-05,0.06206492583305102,4
67,0.0066,146,0.0006175672077191098,0.04877960262059139,0.8698630136986302,0.04877960262059139,0.14061990335162125,4
134,0.013300000000000001,146,0.0007345669597045183,0.024822606162365594,0.910958904109589,0.06113317721281652,0.017617805332373004,4
201,0.02,146,0.0008491453074157099,0.020695087063238523,0.8835616438356164,0.0365232621025462,0.10972698841124047,4
