time_s,Jet1_candidate_height_m,Jet1_candidate_delta_m,Jet1_candidate_region,Jet1_candidate_r,early_time,continuous_H,not_isolated,near_top_flag,pseudo_spike_flag,candidate_flag,H_m,H_mm
0.0,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0002,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.00030000000000000003,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0004,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0005,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0006000000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0007,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0008,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0009000000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0011,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0012000000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0013000000000000002,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0014,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0015,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0016,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0017000000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0018000000000000002,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0019,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.002,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0021000000000000003,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0022,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0023,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0024000000000000002,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0025,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0026000000000000003,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0027,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0028,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0029000000000000002,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.003,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0031000000000000003,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0032,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0033,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0034000000000000002,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0035,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0036000000000000003,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0037,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0038,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0039000000000000003,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.004,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0041,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.004200000000000001,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0043,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
0.0044,6.233936263432989e-05,0.0,center_hole_region,0.003,True,True,True,False,False,False,6.233936263432989e-05,0.06233936263432989
