case_id,time,H_median,H_mean,H_p95,H_p99,pseudo_spike_ROI_flag,interface_points_count,main_component_points_count,interface_roughness_peak_to_peak
D0,0.0,-1.278299464787261e-06,-2.1577720870932846e-05,0.00011056320078997352,0.00016571892445206053,True,117,117,0.0012005165966569782
D0,0.00010000000000000002,-1.2766194225801559e-06,-2.1525172709169382e-05,0.00011002755031402736,0.00016520999643215655,True,117,117,0.0011983250138364724
D0,0.0002,-1.2625377201905881e-06,-2.1464680256579924e-05,0.00010943885587645336,0.00016464777623667967,True,117,117,0.001196092620526216
D0,0.00030000000000000003,-1.2404127580796498e-06,-2.1398075247495234e-05,0.00010880504336888311,0.00016404804814407282,True,117,117,0.0011938219083216686
D0,0.0004,-1.1498911375127456e-06,-2.132698796352781e-05,0.00010813858782478329,0.0001634211711389693,True,117,117,0.0011915264717703164
D0,0.0005,-9.847548623523024e-07,-2.125045485586805e-05,0.00010743527842487669,0.00016276316855372993,True,117,117,0.0011891967142328868
D0,0.0006000000000000001,-8.45043221520447e-07,-2.1170029343257752e-05,0.00010670579324151071,0.0001620830468477603,True,117,117,0.0011868381073011566
D0,0.0007,-7.911175571117853e-07,-2.1085190495259323e-05,0.00010594701566798147,0.00016137803666373818,True,117,117,0.001184444539605286
D0,0.0008,-7.119476311709543e-07,-2.0994120780717383e-05,0.00010514669911411065,0.00016063692338164624,True,117,117,0.0011819899820145912
D0,0.0009000000000000001,-6.585093351197011e-07,-2.090077663212334e-05,0.00010433184827865586,0.0001598831366456546,True,117,117,0.0011795173361980886
D0,0.001,-5.822934936955791e-07,-2.0803301947552072e-05,0.00010349237696127405,0.00015910695527958396,True,117,117,0.0011770159730782968
D0,0.0011,-4.995813472943788e-07,-2.0702387177644078e-05,0.00010263221540263651,0.00015831214085883731,True,117,117,0.0011744904764983163
D0,0.0012000000000000001,-4.0570682416764346e-07,-2.0597243138342165e-05,0.00010174884064362896,0.0001574954634962119,True,117,117,0.0011719272359284778
D0,0.0013000000000000002,-1.9008007753640874e-07,-2.048750253698004e-05,0.00010084105258180659,0.00015665544286154294,True,117,117,0.0011693201979153345
D0,0.0014,-5.668026768925307e-08,-2.0373511668328207e-05,9.990980262413664e-05,0.00015579343618758965,True,117,117,0.001166675512327828
D0,0.0015,-8.133998813229402e-09,-2.0255248226143106e-05,9.895847820058937e-05,0.00015491095427935637,True,117,117,0.0011639949119805005
D0,0.0016,4.392427877913637e-08,-2.013265187988191e-05,9.798711847978357e-05,0.00015400796313593202,True,117,117,0.0011612782655156138
D0,0.0017000000000000001,1.3416381017679032e-07,-2.0005671213500947e-05,9.699456885043345e-05,0.00015308387946627892,True,117,117,0.001158524778839627
D0,0.0018000000000000002,2.7911724408185036e-07,-1.9874431629583153e-05,9.598574490257602e-05,0.00015214136618383844,True,117,117,0.001155737403859207
D0,0.0019,2.9731525184290117e-07,-1.973885249401794e-05,9.495940316098597e-05,0.0001511796914875663,True,117,117,0.0011529152069298058
D0,0.002,2.9003384722421665e-07,-1.959886367640873e-05,9.391470222362416e-05,0.00015019834578768642,True,117,117,0.0011500575029185513
D0,0.0021000000000000003,5.185429769691025e-07,-1.945488266018577e-05,9.285815625762039e-05,0.00014920100122032916,True,117,117,0.0011471686589679827
D0,0.0022,4.592407435534461e-07,-1.9306667315426185e-05,9.178683444768182e-05,0.00014818592808773625,True,117,117,0.001144246490818391
D0,0.0023,5.204896762921922e-07,-1.9154252748280594e-05,9.067674920893594e-05,0.0001471535285833899,True,117,117,0.0011412926206246332
D0,0.0024000000000000002,6.049421865371733e-07,-1.8999062318554226e-05,8.944798531934365e-05,0.00014611330437933965,True,117,117,0.0011383369748887043
