case_id,inner,time,method,interface_points_count,main_component_points_count,number_of_components,H_median,H_mean,H_p95,H_p99,H_max_after_ROI_filter,interface_roughness_rms,interface_roughness_peak_to_peak,max_slope,pseudo_spike_old_flag,pseudo_spike_ROI_flag,outer_wall_contamination_flag,top_boundary_contamination_flag,ring_boundary_contamination_flag,isolated_component_count,extraction_status,failure_reason,H_raw_global_old,H_robust_old,diagnostic_only
D0,1,0.0,M0_old_original,120,120,1,-1.9262450361298093e-07,5.839852192797644e-05,0.00014180874758285263,0.0004818856091540742,0.007617299318024332,0.0007057498678304599,0.008525252622084012,34.44587667483975,True,True,True,False,False,0,PASS,,0.007617299318024332,-1.9262450361298093e-07,
D0,1,0.0,M1_ROI_main_free_surface,117,117,1,-1.278299464787261e-06,-2.1577720870932846e-05,0.00011056320078997352,0.00016571892445206053,0.0005329057195816496,0.00012170052316496154,0.0012005165966569782,5.71521765778929,False,True,False,False,False,0,PASS,,,,
D0,1,0.0,M2_center_window,33,33,1,-1.2226563386450774e-05,-1.2119774629925881e-05,4.6536780940455955e-05,6.342544739181749e-05,7.060940651176068e-05,3.741306812540151e-05,0.0001579866303475665,2.948594106520834,False,True,False,False,False,0,PASS,,,,
D0,1,0.0,M3_farfield_reference,66,66,1,6.515848301348994e-07,1.5986451736116893e-05,0.00023291174571881716,0.00043198961057745337,0.0005724351635135088,0.00013086614193494526,0.0008982916084882961,5.8512250511238335,False,True,False,False,False,0,PASS,,,,
D0,1,0.0,M4_smoothed_main_interface,117,117,1,-7.201851901387364e-07,-6.5707418614930805e-06,3.496244406779345e-05,8.436339190255365e-05,8.950982941912493e-05,3.28032428864652e-05,0.0001842680095571914,0.3995787460154927,False,False,False,False,False,0,PASS,,,,True
D0,2,0.00010000000000000002,M0_old_original,120,120,1,-2.0721461229139158e-07,5.840750744275213e-05,0.0001412956205109144,0.0004818856074105415,0.007612209161341114,0.0007052674917069738,0.008519471548131827,34.4228454935954,True,True,True,False,False,0,PASS,,0.007612209161341114,-2.0721461229139158e-07,
D0,2,0.00010000000000000002,M1_ROI_main_free_surface,117,117,1,-1.2766194225801559e-06,-2.1525172709169382e-05,0.00011002755031402736,0.00016520999643215655,0.0005319809799650604,0.00012144406882253941,0.0011983250138364724,5.707217920478245,False,True,False,False,False,0,PASS,,,,
D0,2,0.00010000000000000002,M2_center_window,33,33,1,-1.2302390233443871e-05,-1.208240228705347e-05,4.636929961628547e-05,6.322886888701588e-05,7.049301458846577e-05,3.727981846938232e-05,0.00015744297457701343,2.9384475504641454,False,True,False,False,False,0,PASS,,,,
D0,2,0.00010000000000000002,M3_farfield_reference,66,66,1,6.540217175883371e-07,1.596238824880132e-05,0.00023249216844666953,0.0004313279432471381,0.0005716296484603576,0.00013054920178195861,0.0008970435526444677,5.839801333565247,False,True,False,False,False,0,PASS,,,,
D0,2,0.00010000000000000002,M4_smoothed_main_interface,117,117,1,-7.075783487442671e-07,-6.544234318995338e-06,3.474337824228434e-05,8.400005039881832e-05,8.910990184526503e-05,3.26750117814306e-05,0.00018352797932509225,0.39800616141433226,False,False,False,False,False,0,PASS,,,,True
