inner_solution,time_s,phi_mean_below_z_minus_1cm,phi_mean_above_z_plus_1cm,phi_min,phi_max
1,0.0,0.9999999943157827,4.46661682704075e-09,-0.00016106305722898796,1.0002126881968756
2,0.005,0.9997287462564091,0.0002678963554671559,-7.892986511894106e-06,1.0000089391470148
3,0.01,0.9989729909432256,0.0010184214033957413,-3.6022440883609515e-08,1.000000045186894
4,0.015,0.9983471369879189,0.0016409998767018407,-4.4615088684836095e-10,1.0000000006795255
5,0.02,0.9978932993807208,0.002092775377499193,-1.1003907984148822e-11,1.0000000000187053
