inner_solution,time_s,file,ok
1,0.0,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_001.png,True
2,0.0025,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_002.png,True
3,0.005,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_003.png,True
4,0.0075,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_004.png,True
5,0.01,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_005.png,True
6,0.0125,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_006.png,True
7,0.015,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_007.png,True
8,0.0175,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_008.png,True
9,0.02,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B2_static_ring_free_surface_smoke\images\frames\5B2_1_static_ring_interface_frame_009.png,True
