frame	requested_relative_ms	observed_down_mm	sample_time_s	sample_relative_ms	simulated_down_mm	position_error_mm	simulated_speed_down_mps	simulated_accel_down_mps2
103	-98.5	-85.16129	0.0385833333333	-98.5	-84.9479734833	0.213316516673	0.37915274086214479	9.8044139130075774
155	-72.5	-71.6129	0.0645833333333	-72.5	-71.776287158	-0.163387157997	0.63404724477874774	9.8028761823152522
384	42	38.064	0.1790625	41.9791666667	61.4160975627	23.3520975627	1.5266948108733647	2.4256381345424245
405	52.5	45.80645	0.1895625	52.4791666667	77.5999084625	31.7934584625	1.5587887423401865	3.8785433901137276
