frame	requested_relative_ms	observed_down_mm	sample_time_s	sample_relative_ms	simulated_down_mm	position_error_mm	simulated_speed_down_mps	simulated_accel_down_mps2
103	-98.5	-85.16129	0.0386666666667	-98.5	-84.9450645162	0.216225483781	0.37932000000000032	9.8100000000000005
155	-72.5	-71.6129	0.0646666666667	-72.5	-71.7669645162	-0.154064516219	0.63438000000000039	9.8100000000000005
384	42	38.064	0.179166666667	42	38.0681486474	0.00414864744422	0.74512629070426151	-1.9005927288001381
405	52.5	45.80645	0.189666666667	52.5	45.8105224006	0.00407240063889	0.73143466228153897	-0.84755296263190982
