model_id,inner_solution,time_s,interface_threshold,interface_points,max_interface_z_m,H_m,H_mm,near_domain_top
5B3_R1_static_baseline,1,0.0,0.5,12,0.00016578850821326202,0.00016578850821326202,0.16578850821326202,False
5B3_R1_static_baseline,2,0.0002,0.5,18,0.0003011736898973012,0.0003011736898973012,0.3011736898973012,False
5B3_R1_static_baseline,3,0.0004,0.5,19,0.0003011736898973012,0.0003011736898973012,0.3011736898973012,False
5B3_R1_static_baseline,4,0.0006000000000000001,0.5,19,0.0003011736898973012,0.0003011736898973012,0.3011736898973012,False
5B3_R1_static_baseline,5,0.0008,0.5,20,0.0004902503696119395,0.0004902503696119395,0.49025036961193946,False
5B3_R1_static_baseline,6,0.001,0.5,20,0.0004902503696119395,0.0004902503696119395,0.49025036961193946,False
5B3_R1_static_baseline,7,0.0012000000000000001,0.5,21,0.0004902503696119395,0.0004902503696119395,0.49025036961193946,False
5B3_R1_static_baseline,8,0.0014,0.5,21,0.0004902503696119395,0.0004902503696119395,0.49025036961193946,False
5B3_R1_static_baseline,9,0.0016,0.5,21,0.0004902503696119395,0.0004902503696119395,0.49025036961193946,False
5B3_R1_static_baseline,10,0.0018000000000000002,0.5,21,0.0004902503696119395,0.0004902503696119395,0.49025036961193946,False
5B3_R1_static_baseline,11,0.002,0.5,21,0.0004902503696119395,0.0004902503696119395,0.49025036961193946,False
5B3_R1_static_baseline,12,0.0022,0.5,21,0.0004902503696119395,0.0004902503696119395,0.49025036961193946,False
5B3_R1_static_baseline,13,0.0024000000000000002,0.5,22,0.0007435022277886236,0.0007435022277886236,0.7435022277886236,False
5B3_R1_static_baseline,14,0.0026000000000000003,0.5,22,0.0007435022277886236,0.0007435022277886236,0.7435022277886236,False
5B3_R1_static_baseline,15,0.0028,0.5,23,0.0007435022277886236,0.0007435022277886236,0.7435022277886236,False
5B3_R1_static_baseline,16,0.003,0.5,23,0.0007435022277886236,0.0007435022277886236,0.7435022277886236,False
5B3_R1_static_baseline,17,0.0032,0.5,24,0.0008355526137373994,0.0008355526137373994,0.8355526137373994,False
5B3_R1_static_baseline,18,0.0034000000000000002,0.5,26,0.0008355526137373994,0.0008355526137373994,0.8355526137373994,False
5B3_R1_static_baseline,19,0.0036000000000000003,0.5,27,0.0009048656006283272,0.0009048656006283272,0.9048656006283272,False
5B3_R1_static_baseline,20,0.0038,0.5,27,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,21,0.004,0.5,27,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,22,0.004200000000000001,0.5,27,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,23,0.0044,0.5,27,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,24,0.0046,0.5,28,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,25,0.0048000000000000004,0.5,28,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,26,0.005,0.5,28,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,27,0.005200000000000001,0.5,28,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,28,0.0054,0.5,28,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,29,0.0056,0.5,28,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,30,0.0058000000000000005,0.5,28,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,31,0.006,0.5,29,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,32,0.006200000000000001,0.5,29,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,33,0.0064,0.5,29,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
5B3_R1_static_baseline,34,0.0066,0.5,29,0.000904865600628327,0.000904865600628327,0.9048656006283271,False
