case	time	z_low	r_low	z_maxk	r_maxk	qjet_low	ql_low	qjet_maxk	ql_maxk	z_jet
2808	0.000000	-1.996094e+00	1.953125e-02	-3.906250e-03	3.320312e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.957031e+00
2808	0.010000	-1.996094e+00	1.953125e-02	-4.296875e-02	3.710938e-01	0.000000e+00	0.000000e+00	1.269497e-01	1.012842e+00	-1.957031e+00
2808	0.020000	-1.996094e+00	1.953125e-02	-8.203125e-02	3.710938e-01	0.000000e+00	0.000000e+00	2.800645e-01	2.093776e+00	-1.957031e+00
2808	0.030000	-1.996094e+00	1.953125e-02	-8.203125e-02	4.101562e-01	0.000000e+00	0.000000e+00	3.295451e-01	2.244356e+00	-1.957031e+00
2808	0.040000	-1.996094e+00	1.953125e-02	-8.203125e-02	4.492188e-01	0.000000e+00	0.000000e+00	3.653289e-01	2.425558e+00	-1.957031e+00
2808	0.050000	-1.996094e+00	1.953125e-02	-4.296875e-02	4.882812e-01	0.000000e+00	0.000000e+00	3.513075e-01	2.475528e+00	-1.957031e+00
2808	0.060000	-1.996094e+00	1.953125e-02	-2.773438e-01	5.664062e-01	0.000000e+00	0.000000e+00	5.970768e-01	3.027496e+00	-1.957031e+00
2808	0.070000	-1.996094e+00	1.953125e-02	-2.773438e-01	6.835938e-01	0.000000e+00	0.000000e+00	4.690338e-01	2.968951e+00	-1.957031e+00
2808	0.080000	-1.996094e+00	1.953125e-02	-3.164062e-01	6.054688e-01	0.000000e+00	0.000000e+00	7.483757e-01	3.494081e+00	-1.957031e+00
2808	0.090000	-1.996094e+00	1.953125e-02	-3.554688e-01	7.226562e-01	0.000000e+00	0.000000e+00	6.208356e-01	3.298063e+00	-1.957031e+00
2808	0.100000	-1.996094e+00	1.953125e-02	-4.335938e-01	7.617188e-01	0.000000e+00	0.000000e+00	6.239035e-01	3.167632e+00	-1.957031e+00
