case	time	z_base	r_base	z_tip	r_tip	n_out
2820	0.000000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.757812e-01	1
2820	0.010000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.757812e-01	1
2820	0.020000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.757812e-01	1
2820	0.030000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.757812e-01	1
2820	0.040000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.757812e-01	1
2820	0.050000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.757812e-01	1
2820	0.060000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.757812e-01	1
2820	0.070000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.367188e-01	1
2820	0.080000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.367188e-01	1
2820	0.090000	-1.996094e+00	1.953125e-02	-1.957031e+00	1.367188e-01	1
2820	0.100000	-1.996094e+00	1.953125e-02	-1.957031e+00	9.765625e-02	1
2820	0.110000	-1.996094e+00	1.953125e-02	-1.957031e+00	9.765625e-02	1
2820	0.120000	-1.996094e+00	1.953125e-02	-1.957031e+00	5.859375e-02	1
2820	0.130000	-1.957031e+00	1.953125e-02	-1.957031e+00	1.953125e-02	1
2820	0.140000	-1.957031e+00	1.953125e-02	-1.957031e+00	1.953125e-02	1
2820	0.150000	-1.957031e+00	1.953125e-02	-1.957031e+00	1.953125e-02	1
2820	0.160000	-1.957031e+00	1.953125e-02	-1.917969e+00	2.148438e-01	1
2820	0.170000	-1.957031e+00	1.953125e-02	-1.917969e+00	2.148438e-01	1
2820	0.180000	-1.957031e+00	1.953125e-02	-1.917969e+00	1.757812e-01	1
2820	0.190000	-1.957031e+00	1.953125e-02	-1.917969e+00	1.757812e-01	1
2820	0.200000	-1.957031e+00	1.953125e-02	-1.917969e+00	1.367188e-01	1
2820	0.210000	-1.957031e+00	1.953125e-02	-1.917969e+00	9.765625e-02	1
2820	0.220000	-1.917969e+00	1.953125e-02	-1.917969e+00	1.953125e-02	1
2820	0.230000	-1.917969e+00	1.953125e-02	-1.917969e+00	1.953125e-02	1
2820	0.240000	-1.917969e+00	1.953125e-02	-1.878906e+00	2.148438e-01	1
2820	0.250000	-1.917969e+00	1.953125e-02	-1.878906e+00	1.757812e-01	1
2820	0.260000	-1.917969e+00	1.953125e-02	-1.878906e+00	1.757812e-01	1
2820	0.270000	-1.917969e+00	1.953125e-02	-1.878906e+00	9.765625e-02	1
2820	0.280000	-1.878906e+00	1.953125e-02	-1.878906e+00	1.953125e-02	1
2820	0.290000	-1.878906e+00	1.953125e-02	-1.839844e+00	2.148438e-01	1
2820	0.300000	-1.878906e+00	1.953125e-02	-1.839844e+00	2.148438e-01	1
2820	0.310000	-1.878906e+00	1.953125e-02	-1.839844e+00	1.367188e-01	1
2820	0.320000	-1.878906e+00	1.953125e-02	-1.839844e+00	9.765625e-02	1
2820	0.330000	-1.839844e+00	1.953125e-02	-1.800781e+00	2.148438e-01	1
2820	0.340000	-1.839844e+00	1.953125e-02	-1.800781e+00	1.757812e-01	1
2820	0.350000	-1.839844e+00	1.953125e-02	-1.800781e+00	1.367188e-01	1
2820	0.360000	-1.800781e+00	5.859375e-02	-1.800781e+00	1.953125e-02	1
2820	0.370000	-1.800781e+00	1.953125e-02	-1.761719e+00	2.148438e-01	1
2820	0.380000	-1.800781e+00	1.953125e-02	-1.761719e+00	1.367188e-01	1
2820	0.390000	-1.761719e+00	1.953125e-02	-1.722656e+00	2.148438e-01	1
2820	0.400000	-1.761719e+00	1.953125e-02	-1.722656e+00	1.757812e-01	1
2820	0.410000	-1.761719e+00	1.953125e-02	-1.722656e+00	9.765625e-02	1
2820	0.420000	-1.722656e+00	1.953125e-02	-1.683594e+00	1.757812e-01	1
2820	0.430000	-1.722656e+00	1.953125e-02	-1.644531e+00	2.148438e-01	1
2820	0.440000	-1.683594e+00	1.953125e-02	-1.644531e+00	1.367188e-01	1
2820	0.450000	-1.644531e+00	1.953125e-02	-1.449219e+00	2.148438e-01	1
2820	0.460000	-1.605469e+00	1.953125e-02	-1.332031e+00	2.148438e-01	1
2820	0.470000	-1.566406e+00	1.953125e-02	-1.253906e+00	2.148438e-01	1
2820	0.480000	-1.214844e+00	5.859375e-02	-1.175781e+00	2.148438e-01	1
2820	0.490000	-1.136719e+00	1.367188e-01	-1.019531e+00	1.953125e-02	1
2820	0.500000	-1.058594e+00	1.757812e-01	-8.242188e-01	1.953125e-02	1
2820	0.510000	-1.019531e+00	2.148438e-01	-7.070312e-01	1.953125e-02	1
2820	0.520000	-9.804688e-01	2.539062e-01	-5.898438e-01	1.953125e-02	1
2820	0.530000	-9.414062e-01	2.929688e-01	-4.726562e-01	1.953125e-02	1
2820	0.540000	-9.023438e-01	2.929688e-01	-3.554688e-01	1.953125e-02	1
2820	0.550000	-8.632812e-01	2.929688e-01	-2.773438e-01	1.953125e-02	1
2820	0.560000	-8.632812e-01	3.710938e-01	-1.992188e-01	1.953125e-02	1
2820	0.570000	-8.242188e-01	3.320312e-01	-1.210938e-01	1.953125e-02	1
2820	0.580000	-8.242188e-01	4.101562e-01	-4.296875e-02	1.953125e-02	1
2820	0.590000	-7.851562e-01	3.710938e-01	3.515625e-02	1.953125e-02	1
2820	0.600000	-7.851562e-01	4.492188e-01	1.132812e-01	1.953125e-02	1
2820	0.610000	-7.460938e-01	4.101562e-01	1.914062e-01	1.953125e-02	1
2820	0.620000	-7.460938e-01	4.492188e-01	2.695312e-01	1.953125e-02	1
2820	0.630000	-7.070312e-01	4.101562e-01	3.476562e-01	1.953125e-02	1
2820	0.640000	-7.070312e-01	4.492188e-01	3.867188e-01	1.953125e-02	1
2820	0.650000	-7.070312e-01	4.882812e-01	4.648438e-01	1.953125e-02	1
2820	0.660000	-6.679688e-01	4.492188e-01	5.429688e-01	1.953125e-02	1
2820	0.670000	-6.679688e-01	4.882812e-01	5.820312e-01	1.953125e-02	1
2820	0.680000	-6.679688e-01	5.273438e-01	6.210938e-01	1.953125e-02	1
2820	0.690000	-6.679688e-01	5.664062e-01	6.210938e-01	1.953125e-02	1
