case	time	volume	ke	umax	z_umax	r_umax	leaves	delta_min	n_liquid	z_all	z_main	z_center
2820	0	1880.8251113666911	0	0	-5.375	0.625	2467	0.0390625	1	0.0072470508469776474	0.0072470508469776474	-1.9901670932408093
2820	0.01	1880.8251218692631	0.04387152231983367	4.7015943792108406	-0.04296875	0.17578125	4558	0.0390625	1	0.0032276635723298185	0.0032276635723298185	-1.9900724684480173
2820	0.02	1880.8251212294933	0.13904792755728754	8.5244174835885982	-0.08203125	0.09765625	4759	0.0390625	1	0.0072984511879055775	0.0072984511879055775	-1.9897797711687215
2820	0.029999999999999999	1880.8251620536523	0.21313022336381729	8.5227323974669265	-0.08203125	0.01953125	4948	0.0390625	1	0.010584644713528015	0.010584644713528015	-1.9892650984206184
2820	0.040000000000000001	1880.825161453361	0.32283109828697498	8.7719596722754698	-0.08203125	0.01953125	5038	0.0390625	1	0.012353798129882694	0.012353798129882694	-1.9885234368365448
2820	0.050000000000000003	1880.8251654925605	0.43622180264052829	9.2586804357954797	-0.12109375	0.01953125	5119	0.0390625	1	0.014477956146993574	0.014477956146993574	-1.9875635979584587
2820	0.060000000000000005	1880.8251715538415	0.5572212818977621	9.7122549180726097	-0.12109375	0.01953125	5197	0.0390625	1	0.015837988861092757	0.015837988861092757	-1.9863858102152541
2820	0.070000000000000007	1880.8252020463678	0.65808040447828331	9.6300711862196131	-0.12109375	0.01953125	5290	0.0390625	1	0.016956502629393671	0.016956502629393671	-1.984978475222124
2820	0.080000000000000002	1880.8252066696341	0.76606457474281431	9.7767066247792087	-0.12109375	0.01953125	5326	0.0390625	1	0.017741893998150564	0.017741893998150564	-1.9833381668463173
2820	0.089999999999999997	1880.8252184949008	0.87859520764311694	9.9367123490518612	-0.16015625	0.01953125	5398	0.0390625	1	0.018536749761208747	0.018536749761208747	-1.9814677575032187
2820	0.099999999999999992	1880.8252196615006	0.98858171282979623	10.025300932042933	-0.16015625	0.01953125	5449	0.0390625	1	0.019138816833479587	0.019138816833479587	-1.9793625696813197
2820	0.10999999999999999	1880.8252406051993	1.0978404042429544	10.024248408778815	-0.16015625	0.01953125	5536	0.0390625	1	0.019249601778341237	0.019249601778341237	-1.9770867021753915
2820	0.11999999999999998	1880.8252401556115	1.2108444772652798	10.00829749514231	-0.16015625	0.01953125	5593	0.0390625	1	0.019406892351007631	0.019406892351007631	-1.9745287734904131
2820	0.12999999999999998	1880.8252379514247	1.3281044586016912	9.9676941843654472	-0.16015625	0.01953125	5683	0.0390625	1	0.019731789566056826	0.019731789566056826	-1.9717191447432969
2820	0.13999999999999999	1880.8252421740781	1.4466807949268923	9.8917424724145473	-0.19921875	0.01953125	5779	0.0390625	1	0.019758729522255387	0.019758729522255387	-1.9686669700840222
2820	0.14999999999999999	1880.8252414239612	1.56954884272583	9.86862255564861	-0.19921875	0.01953125	5851	0.0390625	1	0.019653391294357971	0.019653391294357971	-1.9653359952468004
2820	0.16	1880.8252392610029	1.6941153889635931	9.8299609555290335	-0.19921875	0.01953125	5917	0.0390625	1	0.019456512453484207	0.019456512453484207	-1.961701516603404
2820	0.17000000000000001	1880.8252475581603	1.8244204923670411	9.7777790719660835	-0.23828125	0.01953125	5968	0.0390625	1	0.019171606952610207	0.019171606952610207	-1.9577788242781029
2820	0.18000000000000002	1880.8252464248324	1.9632778496705998	9.7865109861789872	-0.23828125	0.01953125	6034	0.0390625	1	0.019306003597796356	0.019306003597796356	-1.953579631816817
2820	0.19000000000000003	1880.825243893313	2.0995258178206648	9.794521636162008	-0.27734375	0.01953125	6073	0.0390625	1	0.019530608791170963	0.019530608791170963	-1.9490966469153281
2820	0.20000000000000004	1880.8252438839577	2.2352649371928819	9.8172847095471987	-0.27734375	0.01953125	6121	0.0390625	1	0.01948178590984264	0.01948178590984264	-1.9443348905441105
2820	0.21000000000000005	1880.8252485987905	2.3661779216210364	9.8226729636625816	-0.27734375	0.01953125	6172	0.0390625	1	0.01920104035998467	0.01920104035998467	-1.9393107791110749
2820	0.22000000000000006	1880.825254825731	2.5014551679154535	9.8750766927831393	-0.31640625	0.01953125	6235	0.0390625	1	0.019588547429072539	0.019588547429072539	-1.9340911828741749
2820	0.23000000000000007	1880.8252570578054	2.6364919285599893	9.9367327910050953	-0.35546875	0.01953125	6289	0.0390625	1	0.019628102729167922	0.019628102729167922	-1.9284697582300969
2820	0.24000000000000007	1880.8252594835108	2.7735929088364442	10.022259742539683	-0.35546875	0.01953125	6340	0.0390625	1	0.01932835303862511	0.01932835303862511	-1.922523089686923
2820	0.25000000000000006	1880.8252574632463	2.9084669595037393	10.114662501331583	-0.39453125	0.01953125	6397	0.0390625	1	0.019648660269944399	0.019648660269944399	-1.916193253327521
2820	0.26000000000000006	1880.8252508006981	3.0458813341711344	10.224015974933764	-0.39453125	0.01953125	6457	0.0390625	1	0.019705494410655514	0.019705494410655514	-1.9094244719646574
2820	0.27000000000000007	1880.8252466665474	3.1826990649659881	10.352900706101451	-0.43359375	0.01953125	6499	0.0390625	1	0.019584333441905962	0.019584333441905962	-1.9022357372302592
2820	0.28000000000000008	1880.8252492253519	3.3175261278802171	10.491681704187235	-0.47265625	0.01953125	6550	0.0390625	1	0.019982387153620849	0.019982387153620849	-1.8948121570321401
2820	0.29000000000000009	1880.8252524443037	3.4547725714407482	10.650442341396097	-0.47265625	0.01953125	6598	0.0390625	1	0.020046360756832006	0.020046360756832006	-1.886944728654228
2820	0.3000000000000001	1880.8252427617269	3.5896119274319926	10.821727790094005	-0.51171875	0.01953125	6637	0.0390625	1	0.020166816376141726	0.020166816376141726	-1.8785463852967881
2820	0.31000000000000011	1880.825233295194	3.7261603674522505	11.008686937337966	-0.55078125	0.01953125	6667	0.0390625	1	0.020497272765969889	0.020497272765969889	-1.8696585840030888
2820	0.32000000000000012	1880.8252408063545	3.8596422260810841	11.235858900614277	-0.58984375	0.01953125	6724	0.0390625	1	0.020493518988613624	0.020493518988613624	-1.860224746320658
2820	0.33000000000000013	1880.8252443309927	3.990790053473384	11.501381631378742	-0.62890625	0.01953125	6754	0.0390625	1	0.020795814402522567	0.020795814402522567	-1.8504590426855665
2820	0.34000000000000014	1880.8252373350681	4.1210765997867922	11.804382152261704	-0.66796875	0.01953125	6820	0.0390625	1	0.021027622196782343	0.021027622196782343	-1.8399919706509782
2820	0.35000000000000014	1880.8252567999432	4.2488792332088847	12.184821549912314	-0.70703125	0.01953125	6865	0.0390625	1	0.020972181663715679	0.020972181663715679	-1.8287741839375893
2820	0.36000000000000015	1880.8252248743079	4.3723781301344147	12.606733311458104	-0.74609375	0.01953125	6904	0.0390625	1	0.021426161184412831	0.021426161184412831	-1.8169896064874507
