case_id,inner_solution,time_s,H_max_raw,H_connected_main_interface,H_centerline_or_axis_near,H_percentile_95,H_percentile_99,H_robust,interface_area_or_volume_proxy,number_of_interface_components,largest_component_length,interface_points_count,raw_minus_main_p95,raw_outlier_detected,near_top,H_raw_mm,H_robust_mm,H_m,H_mm
C_E0_D4_repeat,1,0.0,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896088,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,2,0.0001,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896089,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,3,0.0002,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896088,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,4,0.00030000000000000003,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896088,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,5,0.0004,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896088,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,6,0.0005,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896088,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,7,0.0006000000000000001,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896088,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,8,0.0007,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896088,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,9,0.0008,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896088,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
C_E0_D4_repeat,10,0.0009000000000000001,8.474977502194332e-05,8.474977502194332e-05,8.474977502194332e-05,7.890710406734413e-05,8.358124083102348e-05,8.12441724491838e-05,0.0002878579926896089,2,0.00794246972682629,11,3.5056025727595264e-06,False,False,0.08474977502194332,0.08124417244918379,8.12441724491838e-05,0.08124417244918379
