artifact,timestamp_model,model,source,Vtarget,t_end,dt,H_raw_final_minus_H0,H_robust_final_minus_H0,timestamp_java,java
R1_best_model,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B4_R1_extended_stability_repair\models\ring_fountain_v5B4_R1_best_20260618_225535.mph,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B4_R1_extended_stability_repair\models\ring_fountain_v5B4_R1_best.mph,C D4 repeat PASS,1e-2[m/s],0.020[s],1e-4[s],0.0002340314889688338,0.00019520223844612472,,
R1_best_java,,,C D4 repeat PASS,1e-2[m/s],0.020[s],1e-4[s],0.0002340314889688338,0.00019520223844612472,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B4_R1_extended_stability_repair\exports\ring_fountain_v5B4_R1_best_20260618_225535.java,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\05_two_phase_free_surface\5B4_R1_extended_stability_repair\exports\ring_fountain_v5B4_R1_best.java
