case_id,inner_solution,time_s,interface_points,max_interface_z_m,H_m,H_mm,near_top
D_static_ring,1,0.0,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,2,0.0001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,3,0.0002,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,4,0.00030000000000000003,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,5,0.0004,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,6,0.0005,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,7,0.0006000000000000001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,8,0.0007,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,9,0.0008,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,10,0.0009000000000000001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,11,0.001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,12,0.0011,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,13,0.0012000000000000001,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,14,0.0013000000000000002,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,15,0.0014,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,16,0.0015,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,17,0.0016,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,18,0.0017000000000000001,11,8.474977502194334e-05,8.474977502194334e-05,0.08474977502194334,False
D_static_ring,19,0.0018000000000000002,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,20,0.0019,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
D_static_ring,21,0.002,11,8.474977502194332e-05,8.474977502194332e-05,0.08474977502194332,False
