reference	url	case17_use
Xu_et_al_2025_porous_plate_water_entry	https://doi.org/10.1063/5.0276685	slamming-pressure-driven through-hole jet mechanism
Peters_et_al_2013_crown_splash	https://arxiv.org/abs/1211.6641	Weber-number crown-splash regime check
Gekle_Gordillo_2010_Worthington_jets	https://doi.org/10.1017/S0022112009993390	acceleration ballistic and tip-region decomposition
