run	time_ms	region	mean_pressure_Pa	pressure_difference_Pa	inward_velocity_m_s	upward_velocity_m_s
baseline_l7_80ms	52.5	inner_edge	NA	47.9550222	-0.1507742	1.2936306
instant_inner_l7_80ms	52.5	inner_edge	NA	47.9550222	-0.1507742	1.2936306
