case_id,priority,model_path,model_exists,previous_t004_status,attempted_t005,extraction_status,postprocess_status,output_array_path,notes
W10_plain_wall_no_wettedwall_diagnostic,1,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W10_plain_wall_no_wettedwall_diagnostic.mph,YES,NOT_ATTEMPTED/NOT_ATTEMPTED,YES,PASS,PASS,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_raw_array_extraction_recompute\arrays\T005_01_W10_plain_wall_no_wettedwall_diagnostic_20260620_150203.npz,
W0_current_wettedwall,2,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W0_current_wettedwall.mph,YES,NOT_ATTEMPTED/NOT_ATTEMPTED,YES,PASS,PASS,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_raw_array_extraction_recompute\arrays\T005_02_W0_current_wettedwall_20260620_150203.npz,
W2_contact_angle_60deg,3,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W2_contact_angle_60deg.mph,YES,NOT_ATTEMPTED/NOT_ATTEMPTED,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,,
W3_contact_angle_120deg,4,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W3_contact_angle_120deg.mph,YES,NOT_ATTEMPTED/NOT_ATTEMPTED,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,,
W4_contact_angle_150deg,5,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W4_contact_angle_150deg.mph,YES,NOT_ATTEMPTED/NOT_ATTEMPTED,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,,
W7_user_defined_slip_0p1mm,6,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W7_user_defined_slip_0p1mm.mph,YES,NOT_ATTEMPTED/NOT_ATTEMPTED,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,,
W8_user_defined_slip_0p5mm,7,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W8_user_defined_slip_0p5mm.mph,YES,NOT_ATTEMPTED/NOT_ATTEMPTED,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,,
