case,inner_solution,time_s,w_center_above_mean_m_per_s,sample_count
case_C_opposite_relative,1,0.0,0.20636921623479815,139
case_C_opposite_relative,2,0.005,0.20523696179193693,139
case_C_opposite_relative,3,0.01,0.1956467427482456,139
case_C_opposite_relative,4,0.015,0.19407647929980446,139
case_C_opposite_relative,5,0.02,0.19390501275302519,139
