case_id,changed_factor,model_path,status,fail_time_s,max_displacement_m,min_mesh_quality,interface_metric,pseudo_spike_metric,error_log,comment
C0_zero_displacement_baseline,C0 zero-displacement baseline check,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C0_zero_displacement_baseline_20260620_113028.mph,FAIL_DIAGNOSTIC,0.005,1.734723475976807e-17,1.0,interface_roughness_final=0.0010595430631147283,pseudo_spike_ROI_flag=True,,"single-factor diagnostic case; H fields are diagnostic only, not real Hmax"
C1_micro_displacement_baseline,C1 micro-displacement case,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C1_micro_displacement_baseline_20260620_113028.mph,FAIL_DIAGNOSTIC,0.005,5.00000000000023e-06,1.0,interface_roughness_final=0.0010579943600248888,pseudo_spike_ROI_flag=True,,"single-factor diagnostic case; H fields are diagnostic only, not real Hmax"
C2_shorter_time_horizon,C2 shorter time horizon only,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C2_shorter_time_horizon_20260620_113028.mph,FAIL_DIAGNOSTIC,0.001,1.0000000000001327e-06,1.0,interface_roughness_final=0.001177379876680765,pseudo_spike_ROI_flag=True,,"single-factor diagnostic case; H fields are diagnostic only, not real Hmax"
C3_smaller_time_step,C3 smaller time step only,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C3_smaller_time_step_20260620_113028.mph,FAIL_DIAGNOSTIC,0.005,5.00000000000023e-06,1.0,interface_roughness_final=0.0010579943600248993,pseudo_spike_ROI_flag=True,,"single-factor diagnostic case; H fields are diagnostic only, not real Hmax"
C4_smooth_displacement_ramp,C4 smoother displacement ramp only,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C4_smooth_displacement_ramp_20260620_113028.mph,FAIL_DIAGNOSTIC,0.005,5.000002301572357e-06,1.0,interface_roughness_final=0.001058005554893473,pseudo_spike_ROI_flag=True,,"single-factor diagnostic case; H fields are diagnostic only, not real Hmax"
C5_levelset_eps_2mm,C5 level-set interface thickness only,D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C5_levelset_eps_2mm_20260620_113028.mph,FAIL_DIAGNOSTIC,0.005,5.00000000000023e-06,1.0,interface_roughness_final=0.0006219449545605984,pseudo_spike_ROI_flag=True,,"single-factor diagnostic case; H fields are diagnostic only, not real Hmax"
