case_id,inner_solution,time_s,interface_points,H_m,H_mm,diagnostic_interface_height_m,diagnostic_interface_height_mm,near_top
D2,1,0.0,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,2,0.00010000000000000002,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,3,0.0002,11,8.474977502194334e-05,0.08474977502194334,8.474977502194334e-05,0.08474977502194334,False
D2,4,0.00030000000000000003,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,5,0.0004,11,8.474977502194334e-05,0.08474977502194334,8.474977502194334e-05,0.08474977502194334,False
D2,6,0.0005,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,7,0.0006000000000000001,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,8,0.0007,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,9,0.0008,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,10,0.0009000000000000001,11,8.474977502194334e-05,0.08474977502194334,8.474977502194334e-05,0.08474977502194334,False
D2,11,0.001,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,12,0.0011,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,13,0.0012000000000000001,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,14,0.0013000000000000002,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,15,0.0014,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,16,0.0015,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,17,0.0016,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,18,0.0017000000000000001,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,19,0.0018000000000000002,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,20,0.0019,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,21,0.002,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,22,0.0021000000000000003,11,8.474977502194334e-05,0.08474977502194334,8.474977502194334e-05,0.08474977502194334,False
D2,23,0.0022,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,24,0.0023,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,25,0.0024000000000000002,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,26,0.0025,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,27,0.0026000000000000003,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,28,0.0027,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
D2,29,0.0028,11,8.474977502194332e-05,0.08474977502194332,8.474977502194332e-05,0.08474977502194332,False
