inner_solution,t_min,t_max,y-Y_min,y-Y_max,x-X_min,x-X_max,time_s,mesh_displacement_y_min_m
1,0.0,0.0,-4.2221781626494703e-13,2.223221606811876e-14,-6.938893903907228e-18,1.0408340855860843e-17,0.0,-4.2221781626494703e-13
11,0.001,0.001,-1.0555555554972451e-07,5.5555555641961796e-09,-6.938893903907228e-18,1.0408340855860843e-17,0.001,-1.0555555554972451e-07
21,0.002,0.002,-2.1111111110638792e-07,1.1111111121453465e-08,-6.938893903907228e-18,1.0408340855860843e-17,0.002,-2.1111111110638792e-07
