requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
58	0.20425	57.9166666667	interface-000204250us.dat	5.66947350126	3.39517017464	3.77590776341	1.1121409441	3.41999550972	3.40775260171	1.00359266339	1	2
58.5	0.20475	58.4166666667	interface-000204750us.dat	5.72808263747	3.39240889346	3.70605156142	1.09245426416	3.5991242293	3.42354452561	1.05128594133	1	2
59	0.20525	58.9166666667	interface-000205250us.dat	5.78558356035	3.38867939687	3.69645016824	1.09082321911	3.60794286486	3.42549122594	1.05326291235	1	2
59.5	0.20575	59.4166666667	interface-000205750us.dat	5.84423622616	3.38155322074	3.74009522907	1.10602879355	3.64495970275	3.42457887991	1.06435267826	2	2
60	0.20625	59.9166666667	interface-000206250us.dat	5.902110114	3.3692536239	3.72091379119	1.10437331425	3.64312949328	3.42453583858	1.06383161544	2	2
60.5	0.20675	60.4166666667	interface-000206750us.dat	5.95926685067	3.35398268815	3.70432488571	1.10445557719	3.5105548235	3.423870897	1.02531752192	1	2
61	0.20725	60.9166666667	interface-000207250us.dat	6.01675121353	3.33551010504	3.73509806142	1.11979815494	3.57391406928	3.42216334971	1.04434350557	1	2
61.5	0.20775	61.4166666667	interface-000207750us.dat	6.07359236756	3.313505236	3.7433312459	1.12971942981	3.61070783801	3.41929532686	1.05598010492	1	2
62	0.20825	61.9166666667	interface-000208250us.dat	6.12980963868	3.2888277558	3.74067741653	1.13738927493	3.61289964307	3.41449492662	1.05810660748	1	2
62.5	0.20875	62.4166666667	interface-000208750us.dat	6.18440565937	3.26199911768	3.7199716332	1.14039627204	3.61596254615	3.40769430943	1.06111705388	1	2
63	0.20925	62.9166666667	interface-000209250us.dat	6.23837999893	3.23337631971	3.70189914625	1.14490204053	3.61862011695	3.39946157744	1.06446860319	1	2
