requested_relative_ms	sample_time_s	sample_relative_ms	file	jet_top_mm	base_radius_mm	max_radius_mm	max_to_base_ratio	upper_mean_radius_mm	lower_mean_radius_mm	upper_to_lower_ratio	layers_with_multiple_central_crossings	max_central_crossings
33	0.17925	32.9166666667	interface-000179250us.dat	1.95059993241	2.13856333759	2.13856333759	1	1.54084436794	1.97871133759	0.778711042217	0	1
55	0.20125	54.9166666667	interface-000201250us.dat	5.31858286117	3.37690928816	3.79797893981	1.12469083879	3.4114993367	3.41855031987	0.99793743473	3	2
62.5	0.20875	62.4166666667	interface-000208750us.dat	6.18346380494	3.26277293407	3.71728499972	1.13930238936	3.61181640291	3.40795976606	1.05981779447	1	2
76	0.22225	75.9166666667	interface-000222250us.dat	7.66454088474	2.67064897735	3.53834092668	1.32489928728	3.45791849801	3.08310716357	1.12156935019	2	2
90	0.23625	89.9166666667	interface-000236250us.dat	8.38640268517	2.53601190812	3.39174313948	1.3374318664	3.32400023919	2.75156816841	1.20803848415	1	2
